"kommune","parti","stemmer"
"0101 Halden","Arbeiderpartiet",6256
"0101 Halden","Fremskrittspartiet",3660
"0101 Halden","Høyre",1679
"0101 Halden","Kristelig Folkeparti",1167
"0101 Halden","Senterpartiet",687
"0101 Halden","Sosialistisk Venstreparti",1343
"0101 Halden","Venstre",636
"0101 Halden","Miljøpartiet de Grønne",29
"0101 Halden","Norges Kommunistiske Parti",35
"0101 Halden","Pensjonistpartiet",105
"0101 Halden","Rød valgallianse",139
"0101 Halden","Kystpartiet",31
"0101 Halden","Kristent Samlingsparti",32
"0101 Halden","Abort-motstandernes liste",34
"0101 Halden","Demokratene i Norge",8
"0101 Halden","Andre",9
"0104 Moss","Arbeiderpartiet",5755
"0104 Moss","Fremskrittspartiet",4095
"0104 Moss","Høyre",2527
"0104 Moss","Kristelig Folkeparti",595
"0104 Moss","Senterpartiet",181
"0104 Moss","Sosialistisk Venstreparti",1518
"0104 Moss","Venstre",748
"0104 Moss","Miljøpartiet de Grønne",25
"0104 Moss","Norges Kommunistiske Parti",8
"0104 Moss","Pensjonistpartiet",201
"0104 Moss","Rød valgallianse",178
"0104 Moss","Kystpartiet",29
"0104 Moss","Kristent Samlingsparti",12
"0104 Moss","Abort-motstandernes liste",25
"0104 Moss","Demokratene i Norge",10
"0104 Moss","Andre",3
"0105 Sarpsborg","Arbeiderpartiet",12164
"0105 Sarpsborg","Fremskrittspartiet",7450
"0105 Sarpsborg","Høyre",2799
"0105 Sarpsborg","Kristelig Folkeparti",1963
"0105 Sarpsborg","Senterpartiet",971
"0105 Sarpsborg","Sosialistisk Venstreparti",1749
"0105 Sarpsborg","Venstre",821
"0105 Sarpsborg","Miljøpartiet de Grønne",31
"0105 Sarpsborg","Norges Kommunistiske Parti",15
"0105 Sarpsborg","Pensjonistpartiet",316
"0105 Sarpsborg","Rød valgallianse",118
"0105 Sarpsborg","Kystpartiet",79
"0105 Sarpsborg","Kristent Samlingsparti",44
"0105 Sarpsborg","Abort-motstandernes liste",33
"0105 Sarpsborg","Demokratene i Norge",21
"0105 Sarpsborg","Andre",9
"0106 Fredrikstad","Arbeiderpartiet",14584
"0106 Fredrikstad","Fremskrittspartiet",11363
"0106 Fredrikstad","Høyre",4905
"0106 Fredrikstad","Kristelig Folkeparti",2427
"0106 Fredrikstad","Senterpartiet",938
"0106 Fredrikstad","Sosialistisk Venstreparti",3395
"0106 Fredrikstad","Venstre",1602
"0106 Fredrikstad","Miljøpartiet de Grønne",52
"0106 Fredrikstad","Norges Kommunistiske Parti",30
"0106 Fredrikstad","Pensjonistpartiet",460
"0106 Fredrikstad","Rød valgallianse",289
"0106 Fredrikstad","Kystpartiet",136
"0106 Fredrikstad","Kristent Samlingsparti",56
"0106 Fredrikstad","Abort-motstandernes liste",88
"0106 Fredrikstad","Demokratene i Norge",55
"0106 Fredrikstad","Andre",19
"0111 Hvaler","Arbeiderpartiet",803
"0111 Hvaler","Fremskrittspartiet",673
"0111 Hvaler","Høyre",357
"0111 Hvaler","Kristelig Folkeparti",108
"0111 Hvaler","Senterpartiet",61
"0111 Hvaler","Sosialistisk Venstreparti",177
"0111 Hvaler","Venstre",119
"0111 Hvaler","Norges Kommunistiske Parti",2
"0111 Hvaler","Pensjonistpartiet",16
"0111 Hvaler","Rød valgallianse",23
"0111 Hvaler","Kystpartiet",13
"0111 Hvaler","Kristent Samlingsparti",1
"0111 Hvaler","Abort-motstandernes liste",2
"0111 Hvaler","Demokratene i Norge",3
"0118 Aremark","Arbeiderpartiet",276
"0118 Aremark","Fremskrittspartiet",156
"0118 Aremark","Høyre",85
"0118 Aremark","Kristelig Folkeparti",130
"0118 Aremark","Senterpartiet",141
"0118 Aremark","Sosialistisk Venstreparti",42
"0118 Aremark","Venstre",26
"0118 Aremark","Miljøpartiet de Grønne",1
"0118 Aremark","Pensjonistpartiet",7
"0118 Aremark","Rød valgallianse",2
"0118 Aremark","Kystpartiet",1
"0118 Aremark","Kristent Samlingsparti",2
"0118 Aremark","Abort-motstandernes liste",6
"0119 Marker","Arbeiderpartiet",703
"0119 Marker","Fremskrittspartiet",369
"0119 Marker","Høyre",166
"0119 Marker","Kristelig Folkeparti",307
"0119 Marker","Senterpartiet",298
"0119 Marker","Sosialistisk Venstreparti",71
"0119 Marker","Venstre",79
"0119 Marker","Miljøpartiet de Grønne",3
"0119 Marker","Pensjonistpartiet",4
"0119 Marker","Rød valgallianse",5
"0119 Marker","Kystpartiet",3
"0119 Marker","Kristent Samlingsparti",9
"0119 Marker","Abort-motstandernes liste",3
"0119 Marker","Demokratene i Norge",1
"0121 Rømskog","Arbeiderpartiet",148
"0121 Rømskog","Fremskrittspartiet",74
"0121 Rømskog","Høyre",17
"0121 Rømskog","Kristelig Folkeparti",119
"0121 Rømskog","Senterpartiet",57
"0121 Rømskog","Sosialistisk Venstreparti",7
"0121 Rømskog","Venstre",8
"0121 Rømskog","Pensjonistpartiet",1
"0121 Rømskog","Rød valgallianse",3
"0122 Trøgstad","Arbeiderpartiet",707
"0122 Trøgstad","Fremskrittspartiet",843
"0122 Trøgstad","Høyre",279
"0122 Trøgstad","Kristelig Folkeparti",237
"0122 Trøgstad","Senterpartiet",474
"0122 Trøgstad","Sosialistisk Venstreparti",120
"0122 Trøgstad","Venstre",134
"0122 Trøgstad","Miljøpartiet de Grønne",3
"0122 Trøgstad","Norges Kommunistiske Parti",1
"0122 Trøgstad","Pensjonistpartiet",9
"0122 Trøgstad","Rød valgallianse",12
"0122 Trøgstad","Kystpartiet",6
"0122 Trøgstad","Kristent Samlingsparti",4
"0122 Trøgstad","Abort-motstandernes liste",2
"0122 Trøgstad","Demokratene i Norge",1
"0122 Trøgstad","Andre",1
"0123 Spydeberg","Arbeiderpartiet",765
"0123 Spydeberg","Fremskrittspartiet",758
"0123 Spydeberg","Høyre",409
"0123 Spydeberg","Kristelig Folkeparti",248
"0123 Spydeberg","Senterpartiet",312
"0123 Spydeberg","Sosialistisk Venstreparti",189
"0123 Spydeberg","Venstre",132
"0123 Spydeberg","Miljøpartiet de Grønne",5
"0123 Spydeberg","Norges Kommunistiske Parti",2
"0123 Spydeberg","Pensjonistpartiet",13
"0123 Spydeberg","Rød valgallianse",18
"0123 Spydeberg","Kystpartiet",5
"0123 Spydeberg","Kristent Samlingsparti",4
"0123 Spydeberg","Abort-motstandernes liste",4
"0123 Spydeberg","Andre",2
"0124 Askim","Arbeiderpartiet",2594
"0124 Askim","Fremskrittspartiet",2313
"0124 Askim","Høyre",1012
"0124 Askim","Kristelig Folkeparti",500
"0124 Askim","Senterpartiet",340
"0124 Askim","Sosialistisk Venstreparti",512
"0124 Askim","Venstre",343
"0124 Askim","Miljøpartiet de Grønne",8
"0124 Askim","Norges Kommunistiske Parti",4
"0124 Askim","Pensjonistpartiet",40
"0124 Askim","Rød valgallianse",65
"0124 Askim","Kystpartiet",22
"0124 Askim","Kristent Samlingsparti",11
"0124 Askim","Abort-motstandernes liste",7
"0124 Askim","Demokratene i Norge",10
"0124 Askim","Andre",3
"0125 Eidsberg","Arbeiderpartiet",1602
"0125 Eidsberg","Fremskrittspartiet",1656
"0125 Eidsberg","Høyre",565
"0125 Eidsberg","Kristelig Folkeparti",438
"0125 Eidsberg","Senterpartiet",737
"0125 Eidsberg","Sosialistisk Venstreparti",312
"0125 Eidsberg","Venstre",301
"0125 Eidsberg","Miljøpartiet de Grønne",5
"0125 Eidsberg","Norges Kommunistiske Parti",2
"0125 Eidsberg","Pensjonistpartiet",25
"0125 Eidsberg","Rød valgallianse",17
"0125 Eidsberg","Kystpartiet",11
"0125 Eidsberg","Kristent Samlingsparti",18
"0125 Eidsberg","Abort-motstandernes liste",5
"0125 Eidsberg","Demokratene i Norge",3
"0125 Eidsberg","Andre",3
"0127 Skiptvet","Arbeiderpartiet",483
"0127 Skiptvet","Fremskrittspartiet",549
"0127 Skiptvet","Høyre",166
"0127 Skiptvet","Kristelig Folkeparti",175
"0127 Skiptvet","Senterpartiet",303
"0127 Skiptvet","Sosialistisk Venstreparti",82
"0127 Skiptvet","Venstre",59
"0127 Skiptvet","Miljøpartiet de Grønne",2
"0127 Skiptvet","Norges Kommunistiske Parti",3
"0127 Skiptvet","Pensjonistpartiet",5
"0127 Skiptvet","Rød valgallianse",4
"0127 Skiptvet","Kystpartiet",5
"0127 Skiptvet","Kristent Samlingsparti",3
"0127 Skiptvet","Abort-motstandernes liste",3
"0127 Skiptvet","Demokratene i Norge",2
"0127 Skiptvet","Andre",1
"0128 Rakkestad","Arbeiderpartiet",1103
"0128 Rakkestad","Fremskrittspartiet",955
"0128 Rakkestad","Høyre",345
"0128 Rakkestad","Kristelig Folkeparti",592
"0128 Rakkestad","Senterpartiet",706
"0128 Rakkestad","Sosialistisk Venstreparti",158
"0128 Rakkestad","Venstre",182
"0128 Rakkestad","Miljøpartiet de Grønne",1
"0128 Rakkestad","Pensjonistpartiet",13
"0128 Rakkestad","Rød valgallianse",11
"0128 Rakkestad","Kystpartiet",11
"0128 Rakkestad","Kristent Samlingsparti",7
"0128 Rakkestad","Abort-motstandernes liste",7
"0128 Rakkestad","Demokratene i Norge",8
"0135 Råde","Arbeiderpartiet",1139
"0135 Råde","Fremskrittspartiet",1199
"0135 Råde","Høyre",447
"0135 Råde","Kristelig Folkeparti",463
"0135 Råde","Senterpartiet",285
"0135 Råde","Sosialistisk Venstreparti",185
"0135 Råde","Venstre",154
"0135 Råde","Miljøpartiet de Grønne",1
"0135 Råde","Norges Kommunistiske Parti",1
