"kommune","parti","stemmer"
"0101 Halden","Arbeiderpartiet",7279
"0101 Halden","Fremskrittspartiet",2189
"0101 Halden","Høyre",1528
"0101 Halden","Kristelig Folkeparti",2147
"0101 Halden","Senterpartiet",884
"0101 Halden","Sosialistisk Venstreparti",681
"0101 Halden","Venstre",363
"0101 Halden","Miljøpartiet de Grønne",41
"0101 Halden","Norges Kommunistiske Parti",11
"0101 Halden","Pensjonistpartiet",214
"0101 Halden","Rød valgallianse",237
"0101 Halden","Fedrelandspartiet",13
"0101 Halden","Naturlovpartiet",8
"0101 Halden","Samlingspartiet (Ny Fremtid)",17
"0104 Moss","Arbeiderpartiet",6379
"0104 Moss","Fremskrittspartiet",2502
"0104 Moss","Høyre",2671
"0104 Moss","Kristelig Folkeparti",1227
"0104 Moss","Senterpartiet",332
"0104 Moss","Sosialistisk Venstreparti",837
"0104 Moss","Venstre",387
"0104 Moss","Miljøpartiet de Grønne",34
"0104 Moss","Norges Kommunistiske Parti",28
"0104 Moss","Pensjonistpartiet",265
"0104 Moss","Rød valgallianse",395
"0104 Moss","Fedrelandspartiet",23
"0104 Moss","Naturlovpartiet",20
"0104 Moss","Samlingspartiet (Ny Fremtid)",20
"0105 Sarpsborg","Arbeiderpartiet",12461
"0105 Sarpsborg","Fremskrittspartiet",4393
"0105 Sarpsborg","Høyre",2802
"0105 Sarpsborg","Kristelig Folkeparti",3685
"0105 Sarpsborg","Senterpartiet",1407
"0105 Sarpsborg","Sosialistisk Venstreparti",1263
"0105 Sarpsborg","Venstre",856
"0105 Sarpsborg","Miljøpartiet de Grønne",42
"0105 Sarpsborg","Norges Kommunistiske Parti",20
"0105 Sarpsborg","Pensjonistpartiet",327
"0105 Sarpsborg","Rød valgallianse",409
"0105 Sarpsborg","Fedrelandspartiet",34
"0105 Sarpsborg","Naturlovpartiet",24
"0105 Sarpsborg","Samlingspartiet (Ny Fremtid)",103
"0106 Fredrikstad","Arbeiderpartiet",16105
"0106 Fredrikstad","Fremskrittspartiet",6174
"0106 Fredrikstad","Høyre",4903
"0106 Fredrikstad","Kristelig Folkeparti",5002
"0106 Fredrikstad","Senterpartiet",1663
"0106 Fredrikstad","Sosialistisk Venstreparti",2192
"0106 Fredrikstad","Venstre",1530
"0106 Fredrikstad","Miljøpartiet de Grønne",70
"0106 Fredrikstad","Norges Kommunistiske Parti",69
"0106 Fredrikstad","Pensjonistpartiet",763
"0106 Fredrikstad","Rød valgallianse",625
"0106 Fredrikstad","Fedrelandspartiet",57
"0106 Fredrikstad","Naturlovpartiet",33
"0106 Fredrikstad","Samlingspartiet (Ny Fremtid)",112
"0111 Hvaler","Arbeiderpartiet",695
"0111 Hvaler","Fremskrittspartiet",418
"0111 Hvaler","Høyre",318
"0111 Hvaler","Kristelig Folkeparti",244
"0111 Hvaler","Senterpartiet",100
"0111 Hvaler","Sosialistisk Venstreparti",103
"0111 Hvaler","Venstre",108
"0111 Hvaler","Miljøpartiet de Grønne",2
"0111 Hvaler","Norges Kommunistiske Parti",1
"0111 Hvaler","Pensjonistpartiet",27
"0111 Hvaler","Rød valgallianse",29
"0111 Hvaler","Fedrelandspartiet",6
"0111 Hvaler","Naturlovpartiet",2
"0118 Aremark","Arbeiderpartiet",297
"0118 Aremark","Fremskrittspartiet",85
"0118 Aremark","Høyre",68
"0118 Aremark","Kristelig Folkeparti",211
"0118 Aremark","Senterpartiet",195
"0118 Aremark","Sosialistisk Venstreparti",32
"0118 Aremark","Venstre",23
"0118 Aremark","Miljøpartiet de Grønne",10
"0118 Aremark","Pensjonistpartiet",4
"0118 Aremark","Rød valgallianse",4
"0118 Aremark","Fedrelandspartiet",1
"0118 Aremark","Samlingspartiet (Ny Fremtid)",2
"0119 Marker","Arbeiderpartiet",730
"0119 Marker","Fremskrittspartiet",183
"0119 Marker","Høyre",158
"0119 Marker","Kristelig Folkeparti",470
"0119 Marker","Senterpartiet",374
"0119 Marker","Sosialistisk Venstreparti",50
"0119 Marker","Venstre",26
"0119 Marker","Miljøpartiet de Grønne",2
"0119 Marker","Pensjonistpartiet",4
"0119 Marker","Rød valgallianse",15
"0119 Marker","Naturlovpartiet",1
"0119 Marker","Samlingspartiet (Ny Fremtid)",4
"0121 Rømskog","Arbeiderpartiet",151
"0121 Rømskog","Fremskrittspartiet",35
"0121 Rømskog","Høyre",23
"0121 Rømskog","Kristelig Folkeparti",149
"0121 Rømskog","Senterpartiet",67
"0121 Rømskog","Sosialistisk Venstreparti",5
"0121 Rømskog","Venstre",4
"0121 Rømskog","Pensjonistpartiet",2
"0121 Rømskog","Fedrelandspartiet",1
"0121 Rømskog","Naturlovpartiet",1
"0122 Trøgstad","Arbeiderpartiet",875
"0122 Trøgstad","Fremskrittspartiet",538
"0122 Trøgstad","Høyre",277
