"kommune","parti","stemmer"
"0101 Halden","Arbeiderpartiet",3792
"0101 Halden","Høyre",1442
"0101 Halden","Kristelig Folkeparti",487
"0101 Halden","Norges Kommunistiske Parti",122
"0101 Halden","Fellesliste Venstre",189
"0101 Halden","Fellesliste Senterpartiet",12
"0102 Sarpsborg (-1991)","Arbeiderpartiet",4654
"0102 Sarpsborg (-1991)","Høyre",1922
"0102 Sarpsborg (-1991)","Kristelig Folkeparti",680
"0102 Sarpsborg (-1991)","Norges Kommunistiske Parti",391
"0102 Sarpsborg (-1991)","Fellesliste Venstre",381
"0102 Sarpsborg (-1991)","Fellesliste Senterpartiet",22
"0103 Fredrikstad (-1993)","Arbeiderpartiet",4145
"0103 Fredrikstad (-1993)","Høyre",2517
"0103 Fredrikstad (-1993)","Kristelig Folkeparti",621
"0103 Fredrikstad (-1993)","Norges Kommunistiske Parti",365
"0103 Fredrikstad (-1993)","Fellesliste Venstre",215
"0103 Fredrikstad (-1993)","Fellesliste Senterpartiet",45
"0104 Moss","Arbeiderpartiet",7163
"0104 Moss","Høyre",3524
"0104 Moss","Kristelig Folkeparti",669
"0104 Moss","Norges Kommunistiske Parti",459
"0104 Moss","Fellesliste Venstre",301
"0104 Moss","Fellesliste Senterpartiet",94
"0111 Hvaler","Arbeiderpartiet",524
"0111 Hvaler","Høyre",460
"0111 Hvaler","Kristelig Folkeparti",156
"0111 Hvaler","Fellesliste Venstre",51
"0111 Hvaler","Fellesliste Senterpartiet",52
"0112 Torsnes  (1910-1963)","Arbeiderpartiet",432
"0112 Torsnes  (1910-1963)","Høyre",62
"0112 Torsnes  (1910-1963)","Kristelig Folkeparti",52
"0112 Torsnes  (1910-1963)","Norges Kommunistiske Parti",66
"0112 Torsnes  (1910-1963)","Fellesliste Venstre",5
"0112 Torsnes  (1910-1963)","Fellesliste Senterpartiet",120
"0113 Borge (-1993)","Arbeiderpartiet",2899
"0113 Borge (-1993)","Høyre",407
"0113 Borge (-1993)","Kristelig Folkeparti",341
"0113 Borge (-1993)","Norges Kommunistiske Parti",396
"0113 Borge (-1993)","Fellesliste Venstre",53
"0113 Borge (-1993)","Fellesliste Senterpartiet",239
"0114 Varteig (-1991)","Arbeiderpartiet",283
"0114 Varteig (-1991)","Høyre",30
"0114 Varteig (-1991)","Kristelig Folkeparti",129
"0114 Varteig (-1991)","Norges Kommunistiske Parti",3
"0114 Varteig (-1991)","Fellesliste Venstre",19
"0114 Varteig (-1991)","Fellesliste Senterpartiet",135
"0115 Skjeberg (-1991)","Arbeiderpartiet",3503
"0115 Skjeberg (-1991)","Høyre",526
"0115 Skjeberg (-1991)","Kristelig Folkeparti",813
"0115 Skjeberg (-1991)","Norges Kommunistiske Parti",359
"0115 Skjeberg (-1991)","Fellesliste Venstre",154
"0115 Skjeberg (-1991)","Fellesliste Senterpartiet",484
"0116 Berg  (-1966)","Arbeiderpartiet",2935
"0116 Berg  (-1966)","Høyre",636
"0116 Berg  (-1966)","Kristelig Folkeparti",695
"0116 Berg  (-1966)","Norges Kommunistiske Parti",74
"0116 Berg  (-1966)","Fellesliste Venstre",135
"0116 Berg  (-1966)","Fellesliste Senterpartiet",537
"0117 Idd (-1966)","Arbeiderpartiet",2619
"0117 Idd (-1966)","Høyre",364
"0117 Idd (-1966)","Kristelig Folkeparti",352
"0117 Idd (-1966)","Norges Kommunistiske Parti",105
"0117 Idd (-1966)","Fellesliste Venstre",81
"0117 Idd (-1966)","Fellesliste Senterpartiet",328
"0118 Aremark","Arbeiderpartiet",395
"0118 Aremark","Høyre",57
"0118 Aremark","Kristelig Folkeparti",190
"0118 Aremark","Norges Kommunistiske Parti",6
"0118 Aremark","Fellesliste Venstre",12
"0118 Aremark","Fellesliste Senterpartiet",168
"0119u Øymark (-1963)","Arbeiderpartiet",620
"0119u Øymark (-1963)","Høyre",151
"0119u Øymark (-1963)","Kristelig Folkeparti",233
"0119u Øymark (-1963)","Norges Kommunistiske Parti",7
"0119u Øymark (-1963)","Fellesliste Venstre",17
"0119u Øymark (-1963)","Fellesliste Senterpartiet",145
"0120 Rødenes (-1963)","Arbeiderpartiet",345
"0120 Rødenes (-1963)","Høyre",74
"0120 Rødenes (-1963)","Kristelig Folkeparti",97
"0120 Rødenes (-1963)","Norges Kommunistiske Parti",2
"0120 Rødenes (-1963)","Fellesliste Venstre",7
"0120 Rødenes (-1963)","Fellesliste Senterpartiet",241
"0121 Rømskog","Arbeiderpartiet",167
"0121 Rømskog","Høyre",27
"0121 Rømskog","Kristelig Folkeparti",109
