"kommune","parti","stemmer"
"0101 Halden","Arbeiderpartiet",10093
"0101 Halden","Høyre",2290
"0101 Halden","Kristelig Folkeparti",1657
"0101 Halden","Senterpartiet",1386
"0101 Halden","Venstre",518
"0101 Halden","Norges Kommunistiske Parti",61
"0101 Halden","Sosialistisk Folkeparti (1961-1969)",568
"0102 Sarpsborg (-1991)","Arbeiderpartiet",4898
"0102 Sarpsborg (-1991)","Høyre",1940
"0102 Sarpsborg (-1991)","Kristelig Folkeparti",708
"0102 Sarpsborg (-1991)","Senterpartiet",186
"0102 Sarpsborg (-1991)","Venstre",452
"0102 Sarpsborg (-1991)","Norges Kommunistiske Parti",111
"0102 Sarpsborg (-1991)","Sosialistisk Folkeparti (1961-1969)",355
"0103 Fredrikstad (-1993)","Arbeiderpartiet",10262
"0103 Fredrikstad (-1993)","Høyre",4799
"0103 Fredrikstad (-1993)","Kristelig Folkeparti",1561
"0103 Fredrikstad (-1993)","Senterpartiet",467
"0103 Fredrikstad (-1993)","Venstre",941
"0103 Fredrikstad (-1993)","Norges Kommunistiske Parti",238
"0103 Fredrikstad (-1993)","Sosialistisk Folkeparti (1961-1969)",664
"0104 Moss","Arbeiderpartiet",7968
"0104 Moss","Høyre",3913
"0104 Moss","Kristelig Folkeparti",893
"0104 Moss","Senterpartiet",490
"0104 Moss","Venstre",568
"0104 Moss","Norges Kommunistiske Parti",203
"0104 Moss","Sosialistisk Folkeparti (1961-1969)",593
"0111 Hvaler","Arbeiderpartiet",580
"0111 Hvaler","Høyre",444
"0111 Hvaler","Kristelig Folkeparti",161
"0111 Hvaler","Senterpartiet",80
"0111 Hvaler","Venstre",82
"0111 Hvaler","Norges Kommunistiske Parti",1
"0111 Hvaler","Sosialistisk Folkeparti (1961-1969)",9
"0113 Borge (-1993)","Arbeiderpartiet",3915
"0113 Borge (-1993)","Høyre",517
"0113 Borge (-1993)","Kristelig Folkeparti",448
"0113 Borge (-1993)","Senterpartiet",449
"0113 Borge (-1993)","Venstre",202
"0113 Borge (-1993)","Norges Kommunistiske Parti",164
"0113 Borge (-1993)","Sosialistisk Folkeparti (1961-1969)",240
"0114 Varteig (-1991)","Arbeiderpartiet",393
"0114 Varteig (-1991)","Høyre",22
"0114 Varteig (-1991)","Kristelig Folkeparti",151
"0114 Varteig (-1991)","Senterpartiet",165
"0114 Varteig (-1991)","Venstre",10
"0114 Varteig (-1991)","Norges Kommunistiske Parti",4
"0114 Varteig (-1991)","Sosialistisk Folkeparti (1961-1969)",15
"0115 Skjeberg (-1991)","Arbeiderpartiet",4422
"0115 Skjeberg (-1991)","Høyre",570
"0115 Skjeberg (-1991)","Kristelig Folkeparti",733
"0115 Skjeberg (-1991)","Senterpartiet",640
"0115 Skjeberg (-1991)","Venstre",239
"0115 Skjeberg (-1991)","Norges Kommunistiske Parti",77
"0115 Skjeberg (-1991)","Sosialistisk Folkeparti (1961-1969)",342
"0118 Aremark","Arbeiderpartiet",373
"0118 Aremark","Høyre",50
"0118 Aremark","Kristelig Folkeparti",188
"0118 Aremark","Senterpartiet",215
"0118 Aremark","Venstre",10
"0118 Aremark","Norges Kommunistiske Parti",4
"0118 Aremark","Sosialistisk Folkeparti (1961-1969)",7
"0119 Marker","Arbeiderpartiet",1001
"0119 Marker","Høyre",167
"0119 Marker","Kristelig Folkeparti",369
"0119 Marker","Senterpartiet",481
"0119 Marker","Venstre",30
"0119 Marker","Sosialistisk Folkeparti (1961-1969)",18
"0121 Rømskog","Arbeiderpartiet",172
"0121 Rømskog","Høyre",25
"0121 Rømskog","Kristelig Folkeparti",117
"0121 Rømskog","Senterpartiet",62
"0121 Rømskog","Venstre",4
"0121 Rømskog","Norges Kommunistiske Parti",2
"0121 Rømskog","Sosialistisk Folkeparti (1961-1969)",10
"0122 Trøgstad","Arbeiderpartiet",830
"0122 Trøgstad","Høyre",227
"0122 Trøgstad","Kristelig Folkeparti",322
"0122 Trøgstad","Senterpartiet",914
"0122 Trøgstad","Venstre",57
"0122 Trøgstad","Norges Kommunistiske Parti",5
"0122 Trøgstad","Sosialistisk Folkeparti (1961-1969)",24
"0123 Spydeberg","Arbeiderpartiet",821
"0123 Spydeberg","Høyre",174
"0123 Spydeberg","Kristelig Folkeparti",182
"0123 Spydeberg","Senterpartiet",615
"0123 Spydeberg","Venstre",55
"0123 Spydeberg","Norges Kommunistiske Parti",1
"0123 Spydeberg","Sosialistisk Folkeparti (1961-1969)",50
"0124 Askim","Arbeiderpartiet",3329
"0124 Askim","Høyre",831
"0124 Askim","Kristelig Folkeparti",477
