"kommune","parti","stemmer"
"0101 Halden","Arbeiderpartiet",7759
"0101 Halden","Fremskrittspartiet",1971
"0101 Halden","Høyre",2382
"0101 Halden","Kristelig Folkeparti",1558
"0101 Halden","Senterpartiet",829
"0101 Halden","Sosialistisk Venstreparti",1522
"0101 Halden","Venstre",216
"0101 Halden","Miljøpartiet de Grønne",211
"0101 Halden","Pensjonistpartiet",66
"0101 Halden","Det Liberale Folkepartiet",9
"0101 Halden","Fylkeslistene for miljø og solidaritet",82
"0102 Sarpsborg (-1991)","Arbeiderpartiet",3943
"0102 Sarpsborg (-1991)","Fremskrittspartiet",854
"0102 Sarpsborg (-1991)","Høyre",1551
"0102 Sarpsborg (-1991)","Kristelig Folkeparti",517
"0102 Sarpsborg (-1991)","Senterpartiet",88
"0102 Sarpsborg (-1991)","Sosialistisk Venstreparti",717
"0102 Sarpsborg (-1991)","Venstre",137
"0102 Sarpsborg (-1991)","Miljøpartiet de Grønne",31
"0102 Sarpsborg (-1991)","Pensjonistpartiet",32
"0102 Sarpsborg (-1991)","Det Liberale Folkepartiet",4
"0102 Sarpsborg (-1991)","Fylkeslistene for miljø og solidaritet",70
"0103 Fredrikstad (-1993)","Arbeiderpartiet",7007
"0103 Fredrikstad (-1993)","Fremskrittspartiet",2146
"0103 Fredrikstad (-1993)","Høyre",4125
"0103 Fredrikstad (-1993)","Kristelig Folkeparti",1236
"0103 Fredrikstad (-1993)","Senterpartiet",227
"0103 Fredrikstad (-1993)","Sosialistisk Venstreparti",2299
"0103 Fredrikstad (-1993)","Venstre",367
"0103 Fredrikstad (-1993)","Miljøpartiet de Grønne",131
"0103 Fredrikstad (-1993)","Pensjonistpartiet",106
"0103 Fredrikstad (-1993)","Det Liberale Folkepartiet",6
"0103 Fredrikstad (-1993)","Fylkeslistene for miljø og solidaritet",113
"0104 Moss","Arbeiderpartiet",5866
"0104 Moss","Fremskrittspartiet",2571
"0104 Moss","Høyre",4051
"0104 Moss","Kristelig Folkeparti",580
"0104 Moss","Senterpartiet",207
"0104 Moss","Sosialistisk Venstreparti",1775
"0104 Moss","Venstre",320
"0104 Moss","Miljøpartiet de Grønne",80
"0104 Moss","Pensjonistpartiet",127
"0104 Moss","Det Liberale Folkepartiet",9
"0104 Moss","Fylkeslistene for miljø og solidaritet",147
"0111 Hvaler","Arbeiderpartiet",644
"0111 Hvaler","Fremskrittspartiet",342
"0111 Hvaler","Høyre",506
"0111 Hvaler","Kristelig Folkeparti",176
