"kommune","parti","stemmer"
"0101 Halden","Arbeiderpartiet",6814
"0101 Halden","Fremskrittspartiet",1083
"0101 Halden","Høyre",1491
"0101 Halden","Kristelig Folkeparti",1468
"0101 Halden","Senterpartiet",1883
"0101 Halden","Sosialistisk Venstreparti",1127
"0101 Halden","Venstre",246
"0101 Halden","Miljøpartiet de Grønne",42
"0101 Halden","Pensjonistpartiet",304
"0101 Halden","Rød valgallianse",82
"0101 Halden","Det Liberale Folkepartiet",4
"0101 Halden","Fedrelandspartiet",28
"0101 Halden","Stopp Innvandringen",31
"0101 Halden","Samlingspartiet (Ny Fremtid)",123
"0103 Fredrikstad (-1993)","Arbeiderpartiet",7055
"0103 Fredrikstad (-1993)","Fremskrittspartiet",1151
"0103 Fredrikstad (-1993)","Høyre",2624
"0103 Fredrikstad (-1993)","Kristelig Folkeparti",1198
"0103 Fredrikstad (-1993)","Senterpartiet",877
"0103 Fredrikstad (-1993)","Sosialistisk Venstreparti",1251
"0103 Fredrikstad (-1993)","Venstre",630
"0103 Fredrikstad (-1993)","Miljøpartiet de Grønne",50
"0103 Fredrikstad (-1993)","Pensjonistpartiet",316
"0103 Fredrikstad (-1993)","Rød valgallianse",121
"0103 Fredrikstad (-1993)","Det Liberale Folkepartiet",2
"0103 Fredrikstad (-1993)","Fedrelandspartiet",32
"0103 Fredrikstad (-1993)","Stopp Innvandringen",60
"0103 Fredrikstad (-1993)","Samlingspartiet (Ny Fremtid)",89
"0104 Moss","Arbeiderpartiet",6419
"0104 Moss","Fremskrittspartiet",1103
"0104 Moss","Høyre",2870
"0104 Moss","Kristelig Folkeparti",538
"0104 Moss","Senterpartiet",759
"0104 Moss","Sosialistisk Venstreparti",943
"0104 Moss","Venstre",374
"0104 Moss","Miljøpartiet de Grønne",17
"0104 Moss","Pensjonistpartiet",801
"0104 Moss","Rød valgallianse",177
"0104 Moss","Det Liberale Folkepartiet",4
"0104 Moss","Fedrelandspartiet",52
"0104 Moss","Stopp Innvandringen",38
"0104 Moss","Samlingspartiet (Ny Fremtid)",76
"0105 Sarpsborg","Arbeiderpartiet",12567
"0105 Sarpsborg","Fremskrittspartiet",2041
"0105 Sarpsborg","Høyre",2910
"0105 Sarpsborg","Kristelig Folkeparti",2218
"0105 Sarpsborg","Senterpartiet",3084
"0105 Sarpsborg","Sosialistisk Venstreparti",1796
"0105 Sarpsborg","Venstre",624
"0105 Sarpsborg","Miljøpartiet de Grønne",39
"0105 Sarpsborg","Pensjonistpartiet",756
"0105 Sarpsborg","Rød valgallianse",127
"0105 Sarpsborg","Det Liberale Folkepartiet",13
"0105 Sarpsborg","Fedrelandspartiet",50
"0105 Sarpsborg","Stopp Innvandringen",58
"0105 Sarpsborg","Samlingspartiet (Ny Fremtid)",137
"0111 Hvaler","Arbeiderpartiet",668
"0111 Hvaler","Fremskrittspartiet",162
"0111 Hvaler","Høyre",306
"0111 Hvaler","Kristelig Folkeparti",154
"0111 Hvaler","Senterpartiet",225
"0111 Hvaler","Sosialistisk Venstreparti",131
"0111 Hvaler","Venstre",84
"0111 Hvaler","Miljøpartiet de Grønne",1
"0111 Hvaler","Pensjonistpartiet",7
"0111 Hvaler","Rød valgallianse",13
"0111 Hvaler","Fedrelandspartiet",5
"0111 Hvaler","Stopp Innvandringen",3
"0111 Hvaler","Samlingspartiet (Ny Fremtid)",5
"0113 Borge (-1993)","Arbeiderpartiet",3466
"0113 Borge (-1993)","Fremskrittspartiet",490
"0113 Borge (-1993)","Høyre",693
"0113 Borge (-1993)","Kristelig Folkeparti",471
"0113 Borge (-1993)","Senterpartiet",774
"0113 Borge (-1993)","Sosialistisk Venstreparti",601
"0113 Borge (-1993)","Venstre",186
"0113 Borge (-1993)","Miljøpartiet de Grønne",10
"0113 Borge (-1993)","Pensjonistpartiet",102
"0113 Borge (-1993)","Rød valgallianse",17
"0113 Borge (-1993)","Det Liberale Folkepartiet",2
"0113 Borge (-1993)","Fedrelandspartiet",13
"0113 Borge (-1993)","Stopp Innvandringen",36
"0113 Borge (-1993)","Samlingspartiet (Ny Fremtid)",73
"0118 Aremark","Arbeiderpartiet",285
"0118 Aremark","Fremskrittspartiet",25
"0118 Aremark","Høyre",63
"0118 Aremark","Kristelig Folkeparti",139
"0118 Aremark","Senterpartiet",315
"0118 Aremark","Sosialistisk Venstreparti",43
"0118 Aremark","Venstre",9
"0118 Aremark","Miljøpartiet de Grønne",10
"0118 Aremark","Pensjonistpartiet",7
"0118 Aremark","Rød valgallianse",2
"0118 Aremark","Fedrelandspartiet",2
"0118 Aremark","Stopp Innvandringen",1
"0118 Aremark","Samlingspartiet (Ny Fremtid)",6
"0119 Marker","Arbeiderpartiet",664
"0119 Marker","Fremskrittspartiet",45
"0119 Marker","Høyre",164
"0119 Marker","Kristelig Folkeparti",437
"0119 Marker","Senterpartiet",644
"0119 Marker","Sosialistisk Venstreparti",69
"0119 Marker","Venstre",15
"0119 Marker","Miljøpartiet de Grønne",3
"0119 Marker","Pensjonistpartiet",12
"0119 Marker","Rød valgallianse",4
"0119 Marker","Fedrelandspartiet",1
"0119 Marker","Stopp Innvandringen",1
"0119 Marker","Samlingspartiet (Ny Fremtid)",3
"0121 Rømskog","Arbeiderpartiet",152
"0121 Rømskog","Fremskrittspartiet",5
"0121 Rømskog","Høyre",28
"0121 Rømskog","Kristelig Folkeparti",105
"0121 Rømskog","Senterpartiet",117
"0121 Rømskog","Sosialistisk Venstreparti",13
"0121 Rømskog","Venstre",3
"0122 Trøgstad","Arbeiderpartiet",797
"0122 Trøgstad","Fremskrittspartiet",172
"0122 Trøgstad","Høyre",265
"0122 Trøgstad","Kristelig Folkeparti",272
"0122 Trøgstad","Senterpartiet",1033
"0122 Trøgstad","Sosialistisk Venstreparti",99
"0122 Trøgstad","Venstre",63
"0122 Trøgstad","Miljøpartiet de Grønne",2
"0122 Trøgstad","Pensjonistpartiet",18
"0122 Trøgstad","Rød valgallianse",2
"0122 Trøgstad","Det Liberale Folkepartiet",1
"0122 Trøgstad","Fedrelandspartiet",9
"0122 Trøgstad","Stopp Innvandringen",9
"0122 Trøgstad","Samlingspartiet (Ny Fremtid)",7
"0123 Spydeberg","Arbeiderpartiet",755
"0123 Spydeberg","Fremskrittspartiet",148
"0123 Spydeberg","Høyre",341
"0123 Spydeberg","Kristelig Folkeparti",222
"0123 Spydeberg","Senterpartiet",637
"0123 Spydeberg","Sosialistisk Venstreparti",152
"0123 Spydeberg","Venstre",76
"0123 Spydeberg","Miljøpartiet de Grønne",5
"0123 Spydeberg","Pensjonistpartiet",27
"0123 Spydeberg","Rød valgallianse",6
"0123 Spydeberg","Det Liberale Folkepartiet",1
"0123 Spydeberg","Fedrelandspartiet",5
"0123 Spydeberg","Stopp Innvandringen",9
"0123 Spydeberg","Samlingspartiet (Ny Fremtid)",4
"0124 Askim","Arbeiderpartiet",2850
"0124 Askim","Fremskrittspartiet",604
"0124 Askim","Høyre",1156
"0124 Askim","Kristelig Folkeparti",558
