"kommune","parti","stemmer"
"0101 Halden","Arbeiderpartiet",3723
"0101 Halden","Høyre",1438
"0101 Halden","Kristelig Folkeparti",501
"0101 Halden","Venstre",253
"0101 Halden","Norges Kommunistiske Parti",115
"0101 Halden","Bondepartiet (t.o.m. 1959)",14
"0101 Halden","Norsk Sosialdemokratisk parti",17
"0102 Sarpsborg (-1991)","Arbeiderpartiet",4686
"0102 Sarpsborg (-1991)","Høyre",1784
"0102 Sarpsborg (-1991)","Kristelig Folkeparti",715
"0102 Sarpsborg (-1991)","Venstre",360
"0102 Sarpsborg (-1991)","Norges Kommunistiske Parti",332
"0102 Sarpsborg (-1991)","Bondepartiet (t.o.m. 1959)",19
"0102 Sarpsborg (-1991)","Norsk Sosialdemokratisk parti",173
"0103 Fredrikstad (-1993)","Arbeiderpartiet",4411
"0103 Fredrikstad (-1993)","Høyre",2486
"0103 Fredrikstad (-1993)","Kristelig Folkeparti",713
"0103 Fredrikstad (-1993)","Venstre",245
"0103 Fredrikstad (-1993)","Norges Kommunistiske Parti",314
"0103 Fredrikstad (-1993)","Bondepartiet (t.o.m. 1959)",47
"0103 Fredrikstad (-1993)","Norsk Sosialdemokratisk parti",30
"0104 Moss","Arbeiderpartiet",6856
"0104 Moss","Høyre",2932
"0104 Moss","Kristelig Folkeparti",714
"0104 Moss","Venstre",366
"0104 Moss","Norges Kommunistiske Parti",474
"0104 Moss","Bondepartiet (t.o.m. 1959)",104
"0104 Moss","Norsk Sosialdemokratisk parti",90
"0111 Hvaler","Arbeiderpartiet",540
"0111 Hvaler","Høyre",463
"0111 Hvaler","Kristelig Folkeparti",226
"0111 Hvaler","Venstre",57
"0111 Hvaler","Norges Kommunistiske Parti",1
"0111 Hvaler","Bondepartiet (t.o.m. 1959)",52
"0111 Hvaler","Norsk Sosialdemokratisk parti",5
"0112 Torsnes  (1910-1963)","Arbeiderpartiet",433
"0112 Torsnes  (1910-1963)","Høyre",58
"0112 Torsnes  (1910-1963)","Kristelig Folkeparti",51
"0112 Torsnes  (1910-1963)","Venstre",5
"0112 Torsnes  (1910-1963)","Norges Kommunistiske Parti",46
"0112 Torsnes  (1910-1963)","Bondepartiet (t.o.m. 1959)",108
"0112 Torsnes  (1910-1963)","Norsk Sosialdemokratisk parti",2
"0113 Borge (-1993)","Arbeiderpartiet",2642
"0113 Borge (-1993)","Høyre",359
"0113 Borge (-1993)","Kristelig Folkeparti",377
"0113 Borge (-1993)","Venstre",54
"0113 Borge (-1993)","Norges Kommunistiske Parti",406
"0113 Borge (-1993)","Bondepartiet (t.o.m. 1959)",224
"0113 Borge (-1993)","Norsk Sosialdemokratisk parti",22
"0114 Varteig (-1991)","Arbeiderpartiet",251
