"kommune","parti","stemmer"
"0101 Halden","Arbeiderpartiet",3816
"0101 Halden","Høyre",1393
"0101 Halden","Kristelig Folkeparti",576
"0101 Halden","Venstre",254
"0101 Halden","Norges Kommunistiske Parti",188
"0101 Halden","Bondepartiet (t.o.m. 1959)",11
"0102 Sarpsborg (-1991)","Arbeiderpartiet",4829
"0102 Sarpsborg (-1991)","Høyre",1711
"0102 Sarpsborg (-1991)","Kristelig Folkeparti",714
"0102 Sarpsborg (-1991)","Venstre",479
"0102 Sarpsborg (-1991)","Norges Kommunistiske Parti",522
"0102 Sarpsborg (-1991)","Bondepartiet (t.o.m. 1959)",20
"0103 Fredrikstad (-1993)","Arbeiderpartiet",4457
"0103 Fredrikstad (-1993)","Høyre",2545
"0103 Fredrikstad (-1993)","Kristelig Folkeparti",792
"0103 Fredrikstad (-1993)","Venstre",298
"0103 Fredrikstad (-1993)","Norges Kommunistiske Parti",482
"0103 Fredrikstad (-1993)","Bondepartiet (t.o.m. 1959)",67
"0104 Moss","Arbeiderpartiet",6636
"0104 Moss","Høyre",2715
"0104 Moss","Kristelig Folkeparti",777
"0104 Moss","Venstre",344
"0104 Moss","Norges Kommunistiske Parti",766
"0104 Moss","Bondepartiet (t.o.m. 1959)",130
"0111 Hvaler","Arbeiderpartiet",573
"0111 Hvaler","Høyre",480
"0111 Hvaler","Kristelig Folkeparti",254
"0111 Hvaler","Venstre",94
"0111 Hvaler","Norges Kommunistiske Parti",9
"0111 Hvaler","Bondepartiet (t.o.m. 1959)",56
"0112 Torsnes  (1910-1963)","Arbeiderpartiet",416
"0112 Torsnes  (1910-1963)","Høyre",50
"0112 Torsnes  (1910-1963)","Kristelig Folkeparti",57
"0112 Torsnes  (1910-1963)","Venstre",8
"0112 Torsnes  (1910-1963)","Norges Kommunistiske Parti",77
"0112 Torsnes  (1910-1963)","Bondepartiet (t.o.m. 1959)",103
"0113 Borge (-1993)","Arbeiderpartiet",2406
"0113 Borge (-1993)","Høyre",319
"0113 Borge (-1993)","Kristelig Folkeparti",347
"0113 Borge (-1993)","Venstre",54
"0113 Borge (-1993)","Norges Kommunistiske Parti",547
"0113 Borge (-1993)","Bondepartiet (t.o.m. 1959)",231
"0114 Varteig (-1991)","Arbeiderpartiet",250
"0114 Varteig (-1991)","Høyre",24
"0114 Varteig (-1991)","Kristelig Folkeparti",128
"0114 Varteig (-1991)","Venstre",32
"0114 Varteig (-1991)","Norges Kommunistiske Parti",9
"0114 Varteig (-1991)","Bondepartiet (t.o.m. 1959)",113
"0115 Skjeberg (-1991)","Arbeiderpartiet",3014
"0115 Skjeberg (-1991)","Høyre",447
"0115 Skjeberg (-1991)","Kristelig Folkeparti",673
"0115 Skjeberg (-1991)","Venstre",164
"0115 Skjeberg (-1991)","Norges Kommunistiske Parti",260
"0115 Skjeberg (-1991)","Bondepartiet (t.o.m. 1959)",387
"0116 Berg  (-1966)","Arbeiderpartiet",2680
"0116 Berg  (-1966)","Høyre",567
"0116 Berg  (-1966)","Kristelig Folkeparti",706
"0116 Berg  (-1966)","Venstre",98
"0116 Berg  (-1966)","Norges Kommunistiske Parti",100
"0116 Berg  (-1966)","Bondepartiet (t.o.m. 1959)",585
"0117 Idd (-1966)","Arbeiderpartiet",2315
"0117 Idd (-1966)","Høyre",332
"0117 Idd (-1966)","Kristelig Folkeparti",340
"0117 Idd (-1966)","Venstre",73
"0117 Idd (-1966)","Norges Kommunistiske Parti",105
"0117 Idd (-1966)","Bondepartiet (t.o.m. 1959)",294
"0118 Aremark","Arbeiderpartiet",432
"0118 Aremark","Høyre",55
"0118 Aremark","Kristelig Folkeparti",245
"0118 Aremark","Venstre",22
"0118 Aremark","Norges Kommunistiske Parti",9
"0118 Aremark","Bondepartiet (t.o.m. 1959)",153
"0119u Øymark (-1963)","Arbeiderpartiet",670
"0119u Øymark (-1963)","Høyre",172
"0119u Øymark (-1963)","Kristelig Folkeparti",253
"0119u Øymark (-1963)","Venstre",21
"0119u Øymark (-1963)","Norges Kommunistiske Parti",2
"0119u Øymark (-1963)","Bondepartiet (t.o.m. 1959)",138
"0120 Rødenes (-1963)","Arbeiderpartiet",273
"0120 Rødenes (-1963)","Høyre",53
"0120 Rødenes (-1963)","Kristelig Folkeparti",108
"0120 Rødenes (-1963)","Venstre",13
"0120 Rødenes (-1963)","Norges Kommunistiske Parti",9
"0120 Rødenes (-1963)","Bondepartiet (t.o.m. 1959)",253
"0121 Rømskog","Arbeiderpartiet",168
