"kommune","parti","stemmer"
"0101 Halden","Arbeiderpartiet",3747
"0101 Halden","Høyre",1406
"0101 Halden","Kristelig Folkeparti",502
"0101 Halden","Venstre",236
"0101 Halden","Norges Kommunistiske Parti",265
"0101 Halden","Samfunnspartiet",7
"0102 Sarpsborg (-1991)","Arbeiderpartiet",4760
"0102 Sarpsborg (-1991)","Høyre",1743
"0102 Sarpsborg (-1991)","Kristelig Folkeparti",693
"0102 Sarpsborg (-1991)","Venstre",389
"0102 Sarpsborg (-1991)","Norges Kommunistiske Parti",612
"0102 Sarpsborg (-1991)","Samfunnspartiet",6
"0103 Fredrikstad (-1993)","Arbeiderpartiet",4505
"0103 Fredrikstad (-1993)","Høyre",2593
"0103 Fredrikstad (-1993)","Kristelig Folkeparti",809
"0103 Fredrikstad (-1993)","Venstre",252
"0103 Fredrikstad (-1993)","Norges Kommunistiske Parti",593
"0103 Fredrikstad (-1993)","Samfunnspartiet",38
"0104 Moss","Arbeiderpartiet",6394
"0104 Moss","Høyre",2793
"0104 Moss","Kristelig Folkeparti",694
"0104 Moss","Venstre",326
"0104 Moss","Norges Kommunistiske Parti",812
"0104 Moss","Samfunnspartiet",86
"0111 Hvaler","Arbeiderpartiet",616
"0111 Hvaler","Kristelig Folkeparti",319
"0111 Hvaler","Norges Kommunistiske Parti",3
"0111 Hvaler","Samfunnspartiet",8
"0111 Hvaler","Fellesliste Venstre",155
"0111 Hvaler","Fellesliste Bondepartiet",11
"0111 Hvaler","Fellesliste Høyre",551
"0112 Torsnes  (1910-1963)","Arbeiderpartiet",390
"0112 Torsnes  (1910-1963)","Kristelig Folkeparti",55
"0112 Torsnes  (1910-1963)","Norges Kommunistiske Parti",76
"0112 Torsnes  (1910-1963)","Samfunnspartiet",4
"0112 Torsnes  (1910-1963)","Fellesliste Venstre",5
"0112 Torsnes  (1910-1963)","Fellesliste Bondepartiet",129
"0112 Torsnes  (1910-1963)","Fellesliste Høyre",26
"0113 Borge (-1993)","Arbeiderpartiet",2347
"0113 Borge (-1993)","Kristelig Folkeparti",353
"0113 Borge (-1993)","Norges Kommunistiske Parti",507
"0113 Borge (-1993)","Samfunnspartiet",6
"0113 Borge (-1993)","Fellesliste Venstre",81
"0113 Borge (-1993)","Fellesliste Bondepartiet",221
"0113 Borge (-1993)","Fellesliste Høyre",304
"0114 Varteig (-1991)","Arbeiderpartiet",273
"0114 Varteig (-1991)","Kristelig Folkeparti",128
"0114 Varteig (-1991)","Norges Kommunistiske Parti",7
"0114 Varteig (-1991)","Samfunnspartiet",4
"0114 Varteig (-1991)","Fellesliste Venstre",34
"0114 Varteig (-1991)","Fellesliste Bondepartiet",64
"0114 Varteig (-1991)","Fellesliste Høyre",41
"0115 Skjeberg (-1991)","Arbeiderpartiet",2775
"0115 Skjeberg (-1991)","Kristelig Folkeparti",646
"0115 Skjeberg (-1991)","Norges Kommunistiske Parti",286
"0115 Skjeberg (-1991)","Samfunnspartiet",8
"0115 Skjeberg (-1991)","Fellesliste Venstre",168
"0115 Skjeberg (-1991)","Fellesliste Bondepartiet",293
"0115 Skjeberg (-1991)","Fellesliste Høyre",419
"0116 Berg  (-1966)","Arbeiderpartiet",2679
"0116 Berg  (-1966)","Kristelig Folkeparti",601
"0116 Berg  (-1966)","Norges Kommunistiske Parti",105
"0116 Berg  (-1966)","Samfunnspartiet",6
"0116 Berg  (-1966)","Fellesliste Venstre",97
"0116 Berg  (-1966)","Fellesliste Bondepartiet",557
"0116 Berg  (-1966)","Fellesliste Høyre",674
"0117 Idd (-1966)","Arbeiderpartiet",2084
"0117 Idd (-1966)","Kristelig Folkeparti",283
"0117 Idd (-1966)","Norges Kommunistiske Parti",116
"0117 Idd (-1966)","Samfunnspartiet",5
"0117 Idd (-1966)","Fellesliste Venstre",114
"0117 Idd (-1966)","Fellesliste Bondepartiet",253
"0117 Idd (-1966)","Fellesliste Høyre",326
"0118 Aremark","Arbeiderpartiet",451
"0118 Aremark","Kristelig Folkeparti",249
"0118 Aremark","Norges Kommunistiske Parti",9
"0118 Aremark","Fellesliste Venstre",36
"0118 Aremark","Fellesliste Bondepartiet",142
"0118 Aremark","Fellesliste Høyre",72
"0119u Øymark (-1963)","Arbeiderpartiet",671
"0119u Øymark (-1963)","Kristelig Folkeparti",207
"0119u Øymark (-1963)","Norges Kommunistiske Parti",15
"0119u Øymark (-1963)","Samfunnspartiet",1
"0119u Øymark (-1963)","Fellesliste Venstre",18
"0119u Øymark (-1963)","Fellesliste Bondepartiet",150
"0119u Øymark (-1963)","Fellesliste Høyre",197
"0120 Rødenes (-1963)","Arbeiderpartiet",257
"0120 Rødenes (-1963)","Kristelig Folkeparti",111
"0120 Rødenes (-1963)","Norges Kommunistiske Parti",22
"0120 Rødenes (-1963)","Fellesliste Venstre",24
"0120 Rødenes (-1963)","Fellesliste Bondepartiet",237
"0120 Rødenes (-1963)","Fellesliste Høyre",80
"0121 Rømskog","Arbeiderpartiet",127
"0121 Rømskog","Kristelig Folkeparti",81
"0121 Rømskog","Norges Kommunistiske Parti",8
"0121 Rømskog","Fellesliste Venstre",10
"0121 Rømskog","Fellesliste Bondepartiet",23
"0121 Rømskog","Fellesliste Høyre",34
"0122 Trøgstad","Arbeiderpartiet",705
"0122 Trøgstad","Kristelig Folkeparti",342
"0122 Trøgstad","Norges Kommunistiske Parti",7
"0122 Trøgstad","Samfunnspartiet",12
"0122 Trøgstad","Fellesliste Venstre",212
"0122 Trøgstad","Fellesliste Bondepartiet",734
"0122 Trøgstad","Fellesliste Høyre",132
"0123 Spydeberg","Arbeiderpartiet",687
"0123 Spydeberg","Kristelig Folkeparti",157
"0123 Spydeberg","Norges Kommunistiske Parti",19
"0123 Spydeberg","Fellesliste Venstre",50
"0123 Spydeberg","Fellesliste Bondepartiet",559
"0123 Spydeberg","Fellesliste Høyre",122
"0124 Askim","Arbeiderpartiet",2631
"0124 Askim","Kristelig Folkeparti",521
"0124 Askim","Norges Kommunistiske Parti",144
"0124 Askim","Samfunnspartiet",2
"0124 Askim","Fellesliste Venstre",200
"0124 Askim","Fellesliste Bondepartiet",664
"0124 Askim","Fellesliste Høyre",865
"0125 Eidsberg","Arbeiderpartiet",1273
"0125 Eidsberg","Kristelig Folkeparti",576
"0125 Eidsberg","Norges Kommunistiske Parti",33
"0125 Eidsberg","Samfunnspartiet",1
"0125 Eidsberg","Fellesliste Venstre",150
"0125 Eidsberg","Fellesliste Bondepartiet",1069
"0125 Eidsberg","Fellesliste Høyre",229
"0126 Mysen (1921-1960)","Arbeiderpartiet",673
"0126 Mysen (1921-1960)","Kristelig Folkeparti",213
"0126 Mysen (1921-1960)","Norges Kommunistiske Parti",30
"0126 Mysen (1921-1960)","Samfunnspartiet",7
"0126 Mysen (1921-1960)","Fellesliste Venstre",113
"0126 Mysen (1921-1960)","Fellesliste Bondepartiet",16
"0126 Mysen (1921-1960)","Fellesliste Høyre",430
"0127 Skiptvet","Arbeiderpartiet",532
"0127 Skiptvet","Kristelig Folkeparti",217
"0127 Skiptvet","Norges Kommunistiske Parti",9
"0127 Skiptvet","Samfunnspartiet",3
"0127 Skiptvet","Fellesliste Venstre",76
"0127 Skiptvet","Fellesliste Bondepartiet",415
"0127 Skiptvet","Fellesliste Høyre",84
"0128 Rakkestad","Arbeiderpartiet",1167
"0128 Rakkestad","Kristelig Folkeparti",806
"0128 Rakkestad","Norges Kommunistiske Parti",38
"0128 Rakkestad","Fellesliste Venstre",59
"0128 Rakkestad","Fellesliste Bondepartiet",667
"0128 Rakkestad","Fellesliste Høyre",281
"0129 Degernes (1917-1963)","Arbeiderpartiet",233
"0129 Degernes (1917-1963)","Kristelig Folkeparti",261
"0129 Degernes (1917-1963)","Norges Kommunistiske Parti",4
"0129 Degernes (1917-1963)","Fellesliste Venstre",6
"0129 Degernes (1917-1963)","Fellesliste Bondepartiet",350
