"kommune","parti","stemmer"
"0101 Halden","Arbeiderpartiet",2925
"0101 Halden","Høyre",1281
"0101 Halden","Kristelig Folkeparti",741
"0101 Halden","Venstre",163
"0101 Halden","Norges Kommunistiske Parti",593
"0102 Sarpsborg (-1991)","Arbeiderpartiet",3171
"0102 Sarpsborg (-1991)","Høyre",1325
"0102 Sarpsborg (-1991)","Kristelig Folkeparti",1231
"0102 Sarpsborg (-1991)","Venstre",354
"0102 Sarpsborg (-1991)","Norges Kommunistiske Parti",1400
"0103 Fredrikstad (-1993)","Arbeiderpartiet",3028
"0103 Fredrikstad (-1993)","Høyre",2084
"0103 Fredrikstad (-1993)","Kristelig Folkeparti",1298
"0103 Fredrikstad (-1993)","Venstre",286
"0103 Fredrikstad (-1993)","Norges Kommunistiske Parti",1444
"0104 Moss","Arbeiderpartiet",4971
"0104 Moss","Høyre",2020
"0104 Moss","Kristelig Folkeparti",816
"0104 Moss","Venstre",337
"0104 Moss","Norges Kommunistiske Parti",1618
"0111 Hvaler","Arbeiderpartiet",477
"0111 Hvaler","Høyre",485
"0111 Hvaler","Kristelig Folkeparti",322
"0111 Hvaler","Venstre",137
"0111 Hvaler","Norges Kommunistiske Parti",57
"0111 Hvaler","Bondepartiet (t.o.m. 1959)",9
"0112 Torsnes  (1910-1963)","Arbeiderpartiet",248
"0112 Torsnes  (1910-1963)","Høyre",27
"0112 Torsnes  (1910-1963)","Kristelig Folkeparti",64
"0112 Torsnes  (1910-1963)","Venstre",5
"0112 Torsnes  (1910-1963)","Norges Kommunistiske Parti",143
"0112 Torsnes  (1910-1963)","Bondepartiet (t.o.m. 1959)",123
"0113 Borge (-1993)","Arbeiderpartiet",1468
"0113 Borge (-1993)","Høyre",277
"0113 Borge (-1993)","Kristelig Folkeparti",552
"0113 Borge (-1993)","Venstre",74
"0113 Borge (-1993)","Norges Kommunistiske Parti",872
"0113 Borge (-1993)","Bondepartiet (t.o.m. 1959)",187
"0114 Varteig (-1991)","Arbeiderpartiet",187
"0114 Varteig (-1991)","Høyre",38
"0114 Varteig (-1991)","Kristelig Folkeparti",129
"0114 Varteig (-1991)","Venstre",32
"0114 Varteig (-1991)","Norges Kommunistiske Parti",16
"0114 Varteig (-1991)","Bondepartiet (t.o.m. 1959)",55
"0115 Skjeberg (-1991)","Arbeiderpartiet",1659
"0115 Skjeberg (-1991)","Høyre",368
"0115 Skjeberg (-1991)","Kristelig Folkeparti",949
"0115 Skjeberg (-1991)","Venstre",148
"0115 Skjeberg (-1991)","Norges Kommunistiske Parti",664
"0115 Skjeberg (-1991)","Bondepartiet (t.o.m. 1959)",239
"0116 Berg  (-1966)","Arbeiderpartiet",1983
"0116 Berg  (-1966)","Høyre",555
"0116 Berg  (-1966)","Kristelig Folkeparti",765
"0116 Berg  (-1966)","Venstre",80
"0116 Berg  (-1966)","Norges Kommunistiske Parti",221
"0116 Berg  (-1966)","Bondepartiet (t.o.m. 1959)",426
"0117 Idd (-1966)","Arbeiderpartiet",1413
"0117 Idd (-1966)","Høyre",294
"0117 Idd (-1966)","Kristelig Folkeparti",344
"0117 Idd (-1966)","Venstre",104
"0117 Idd (-1966)","Norges Kommunistiske Parti",226
"0117 Idd (-1966)","Bondepartiet (t.o.m. 1959)",212
"0118 Aremark","Arbeiderpartiet",392
"0118 Aremark","Høyre",65
"0118 Aremark","Kristelig Folkeparti",257
"0118 Aremark","Venstre",33
"0118 Aremark","Norges Kommunistiske Parti",6
"0118 Aremark","Bondepartiet (t.o.m. 1959)",120
"0119u Øymark (-1963)","Arbeiderpartiet",485
"0119u Øymark (-1963)","Høyre",163
"0119u Øymark (-1963)","Kristelig Folkeparti",232
"0119u Øymark (-1963)","Venstre",15
"0119u Øymark (-1963)","Norges Kommunistiske Parti",29
"0119u Øymark (-1963)","Bondepartiet (t.o.m. 1959)",115
"0120 Rødenes (-1963)","Arbeiderpartiet",204
"0120 Rødenes (-1963)","Høyre",68
"0120 Rødenes (-1963)","Kristelig Folkeparti",156
"0120 Rødenes (-1963)","Venstre",21
"0120 Rødenes (-1963)","Norges Kommunistiske Parti",7
"0120 Rødenes (-1963)","Bondepartiet (t.o.m. 1959)",188
"0121 Rømskog","Arbeiderpartiet",104
"0121 Rømskog","Høyre",16
"0121 Rømskog","Kristelig Folkeparti",91
"0121 Rømskog","Venstre",5
"0121 Rømskog","Norges Kommunistiske Parti",15
"0121 Rømskog","Bondepartiet (t.o.m. 1959)",10
"0122 Trøgstad","Arbeiderpartiet",528
"0122 Trøgstad","Høyre",97
"0122 Trøgstad","Kristelig Folkeparti",483
"0122 Trøgstad","Venstre",157
"0122 Trøgstad","Norges Kommunistiske Parti",25
"0122 Trøgstad","Bondepartiet (t.o.m. 1959)",500
"0123 Spydeberg","Arbeiderpartiet",531
"0123 Spydeberg","Høyre",102
"0123 Spydeberg","Kristelig Folkeparti",213
"0123 Spydeberg","Venstre",42
"0123 Spydeberg","Norges Kommunistiske Parti",71
"0123 Spydeberg","Bondepartiet (t.o.m. 1959)",434
"0124 Askim","Arbeiderpartiet",1770
"0124 Askim","Høyre",620
"0124 Askim","Kristelig Folkeparti",652
"0124 Askim","Venstre",145
"0124 Askim","Norges Kommunistiske Parti",248
"0124 Askim","Bondepartiet (t.o.m. 1959)",442
"0125 Eidsberg","Arbeiderpartiet",1001
"0125 Eidsberg","Høyre",151
"0125 Eidsberg","Kristelig Folkeparti",840
"0125 Eidsberg","Venstre",100
"0125 Eidsberg","Norges Kommunistiske Parti",70
"0125 Eidsberg","Bondepartiet (t.o.m. 1959)",655
"0126 Mysen (1921-1960)","Arbeiderpartiet",522
"0126 Mysen (1921-1960)","Høyre",290
"0126 Mysen (1921-1960)","Kristelig Folkeparti",280
"0126 Mysen (1921-1960)","Venstre",77
"0126 Mysen (1921-1960)","Norges Kommunistiske Parti",99
"0126 Mysen (1921-1960)","Bondepartiet (t.o.m. 1959)",10
"0127 Skiptvet","Arbeiderpartiet",376
"0127 Skiptvet","Høyre",60
"0127 Skiptvet","Kristelig Folkeparti",256
"0127 Skiptvet","Venstre",54
"0127 Skiptvet","Norges Kommunistiske Parti",22
"0127 Skiptvet","Bondepartiet (t.o.m. 1959)",274
"0128 Rakkestad","Arbeiderpartiet",941
"0128 Rakkestad","Høyre",203
"0128 Rakkestad","Kristelig Folkeparti",955
"0128 Rakkestad","Venstre",43
"0128 Rakkestad","Norges Kommunistiske Parti",51
"0128 Rakkestad","Bondepartiet (t.o.m. 1959)",448
"0129 Degernes (1917-1963)","Arbeiderpartiet",191
"0129 Degernes (1917-1963)","Høyre",43
"0129 Degernes (1917-1963)","Kristelig Folkeparti",326
"0129 Degernes (1917-1963)","Venstre",6
"0129 Degernes (1917-1963)","Norges Kommunistiske Parti",2
"0129 Degernes (1917-1963)","Bondepartiet (t.o.m. 1959)",287
"0130 Tune (-1991)","Arbeiderpartiet",2205
"0130 Tune (-1991)","Høyre",443
"0130 Tune (-1991)","Kristelig Folkeparti",1080
"0130 Tune (-1991)","Venstre",139
"0130 Tune (-1991)","Norges Kommunistiske Parti",882
"0130 Tune (-1991)","Bondepartiet (t.o.m. 1959)",163
"0131 Rolvsøy (1911-1993)","Arbeiderpartiet",669
"0131 Rolvsøy (1911-1993)","Høyre",115
"0131 Rolvsøy (1911-1993)","Kristelig Folkeparti",291
"0131 Rolvsøy (1911-1993)","Venstre",9
"0131 Rolvsøy (1911-1993)","Norges Kommunistiske Parti",185
"0131 Rolvsøy (1911-1993)","Bondepartiet (t.o.m. 1959)",103
"0132 Glemmen (-1963)","Arbeiderpartiet",3428
"0132 Glemmen (-1963)","Høyre",991
"0132 Glemmen (-1963)","Kristelig Folkeparti",1206
"0132 Glemmen (-1963)","Venstre",189
"0132 Glemmen (-1963)","Norges Kommunistiske Parti",886
"0132 Glemmen (-1963)","Bondepartiet (t.o.m. 1959)",97
"0133 Kråkerøy (1908-1993)","Arbeiderpartiet",1072
"0133 Kråkerøy (1908-1993)","Høyre",316
"0133 Kråkerøy (1908-1993)","Kristelig Folkeparti",495
"0133 Kråkerøy (1908-1993)","Venstre",62
