"kommune","parti","stemmer"
"0101 Halden","Arbeiderpartiet",8597
"0101 Halden","Fremskrittspartiet",700
"0101 Halden","Høyre",3943
"0101 Halden","Kristelig Folkeparti",1622
"0101 Halden","Senterpartiet",950
"0101 Halden","Sosialistisk Venstreparti",620
"0101 Halden","Venstre",310
"0101 Halden","Norges Kommunistiske Parti",37
"0101 Halden","Rød valgallianse",89
"0101 Halden","Det Liberale Folkepartiet",32
"0101 Halden","Andre",21
"0102 Sarpsborg (-1991)","Arbeiderpartiet",4212
"0102 Sarpsborg (-1991)","Fremskrittspartiet",203
"0102 Sarpsborg (-1991)","Høyre",2505
"0102 Sarpsborg (-1991)","Kristelig Folkeparti",617
"0102 Sarpsborg (-1991)","Senterpartiet",69
"0102 Sarpsborg (-1991)","Sosialistisk Venstreparti",290
"0102 Sarpsborg (-1991)","Venstre",177
"0102 Sarpsborg (-1991)","Norges Kommunistiske Parti",51
"0102 Sarpsborg (-1991)","Rød valgallianse",31
"0102 Sarpsborg (-1991)","Det Liberale Folkepartiet",39
"0102 Sarpsborg (-1991)","Andre",4
"0103 Fredrikstad (-1993)","Arbeiderpartiet",9004
"0103 Fredrikstad (-1993)","Fremskrittspartiet",520
"0103 Fredrikstad (-1993)","Høyre",5980
"0103 Fredrikstad (-1993)","Kristelig Folkeparti",1364
"0103 Fredrikstad (-1993)","Senterpartiet",249
"0103 Fredrikstad (-1993)","Sosialistisk Venstreparti",730
"0103 Fredrikstad (-1993)","Venstre",464
"0103 Fredrikstad (-1993)","Norges Kommunistiske Parti",65
"0103 Fredrikstad (-1993)","Rød valgallianse",77
"0103 Fredrikstad (-1993)","Det Liberale Folkepartiet",39
"0103 Fredrikstad (-1993)","Andre",18
"0104 Moss","Arbeiderpartiet",6743
"0104 Moss","Fremskrittspartiet",821
"0104 Moss","Høyre",5740
"0104 Moss","Kristelig Folkeparti",702
"0104 Moss","Senterpartiet",219
"0104 Moss","Sosialistisk Venstreparti",582
"0104 Moss","Venstre",450
"0104 Moss","Norges Kommunistiske Parti",58
"0104 Moss","Rød valgallianse",176
"0104 Moss","Det Liberale Folkepartiet",74
"0104 Moss","Andre",11
"0111 Hvaler","Arbeiderpartiet",577
"0111 Hvaler","Fremskrittspartiet",67
"0111 Hvaler","Høyre",663
"0111 Hvaler","Kristelig Folkeparti",163
"0111 Hvaler","Senterpartiet",69
"0111 Hvaler","Sosialistisk Venstreparti",60
"0111 Hvaler","Venstre",34
"0111 Hvaler","Norges Kommunistiske Parti",1
"0111 Hvaler","Rød valgallianse",7
"0111 Hvaler","Det Liberale Folkepartiet",2
"0113 Borge (-1993)","Arbeiderpartiet",4031
"0113 Borge (-1993)","Fremskrittspartiet",161
"0113 Borge (-1993)","Høyre",1436
"0113 Borge (-1993)","Kristelig Folkeparti",486
"0113 Borge (-1993)","Senterpartiet",347
"0113 Borge (-1993)","Sosialistisk Venstreparti",287
"0113 Borge (-1993)","Venstre",141
"0113 Borge (-1993)","Norges Kommunistiske Parti",48
"0113 Borge (-1993)","Rød valgallianse",16
"0113 Borge (-1993)","Det Liberale Folkepartiet",5
"0113 Borge (-1993)","Andre",4
"0114 Varteig (-1991)","Arbeiderpartiet",507
"0114 Varteig (-1991)","Fremskrittspartiet",30
"0114 Varteig (-1991)","Høyre",226
"0114 Varteig (-1991)","Kristelig Folkeparti",203
"0114 Varteig (-1991)","Senterpartiet",172
"0114 Varteig (-1991)","Sosialistisk Venstreparti",41
"0114 Varteig (-1991)","Venstre",23
"0114 Varteig (-1991)","Norges Kommunistiske Parti",2
"0114 Varteig (-1991)","Rød valgallianse",4
"0114 Varteig (-1991)","Det Liberale Folkepartiet",1
"0115 Skjeberg (-1991)","Arbeiderpartiet",4462
"0115 Skjeberg (-1991)","Fremskrittspartiet",260
"0115 Skjeberg (-1991)","Høyre",1551
"0115 Skjeberg (-1991)","Kristelig Folkeparti",840
"0115 Skjeberg (-1991)","Senterpartiet",511
"0115 Skjeberg (-1991)","Sosialistisk Venstreparti",309
"0115 Skjeberg (-1991)","Venstre",164
"0115 Skjeberg (-1991)","Norges Kommunistiske Parti",18
"0115 Skjeberg (-1991)","Rød valgallianse",23
