"kommune","parti","stemmer"
"0101 Halden","Arbeiderpartiet",6609
"0101 Halden","Fremskrittspartiet",3877
"0101 Halden","Høyre",1963
"0101 Halden","Kristelig Folkeparti",978
"0101 Halden","Senterpartiet",727
"0101 Halden","Sosialistisk Venstreparti",830
"0101 Halden","Venstre",416
"0101 Halden","Miljøpartiet de Grønne",85
"0101 Halden","Pensjonistpartiet",166
"0101 Halden","Kystpartiet",15
"0101 Halden","Kristent Samlingsparti",33
"0101 Halden","Rødt",169
"0101 Halden","Demokratene i Norge",13
"0101 Halden","Andre",26
"0104 Moss","Arbeiderpartiet",6383
"0104 Moss","Fremskrittspartiet",4241
"0104 Moss","Høyre",3219
"0104 Moss","Kristelig Folkeparti",448
"0104 Moss","Senterpartiet",153
"0104 Moss","Sosialistisk Venstreparti",1059
"0104 Moss","Venstre",523
"0104 Moss","Miljøpartiet de Grønne",53
"0104 Moss","Pensjonistpartiet",134
"0104 Moss","Kystpartiet",6
"0104 Moss","Kristent Samlingsparti",22
"0104 Moss","Rødt",216
"0104 Moss","Demokratene i Norge",7
"0104 Moss","Andre",10
"0105 Sarpsborg","Arbeiderpartiet",12453
"0105 Sarpsborg","Fremskrittspartiet",7598
"0105 Sarpsborg","Høyre",3389
"0105 Sarpsborg","Kristelig Folkeparti",1607
"0105 Sarpsborg","Senterpartiet",908
"0105 Sarpsborg","Sosialistisk Venstreparti",944
"0105 Sarpsborg","Venstre",516
"0105 Sarpsborg","Miljøpartiet de Grønne",50
"0105 Sarpsborg","Pensjonistpartiet",332
"0105 Sarpsborg","Kystpartiet",18
"0105 Sarpsborg","Kristent Samlingsparti",60
"0105 Sarpsborg","Rødt",120
"0105 Sarpsborg","Demokratene i Norge",20
"0105 Sarpsborg","Andre",28
"0106 Fredrikstad","Arbeiderpartiet",17234
"0106 Fredrikstad","Fremskrittspartiet",9971
"0106 Fredrikstad","Høyre",6159
"0106 Fredrikstad","Kristelig Folkeparti",2138
"0106 Fredrikstad","Senterpartiet",849
"0106 Fredrikstad","Sosialistisk Venstreparti",1990
"0106 Fredrikstad","Venstre",1015
"0106 Fredrikstad","Miljøpartiet de Grønne",96
"0106 Fredrikstad","Pensjonistpartiet",421
"0106 Fredrikstad","Kystpartiet",40
"0106 Fredrikstad","Kristent Samlingsparti",50
"0106 Fredrikstad","Rødt",305
"0106 Fredrikstad","Demokratene i Norge",42
"0106 Fredrikstad","Andre",77
"0111 Hvaler","Arbeiderpartiet",915
"0111 Hvaler","Fremskrittspartiet",695
"0111 Hvaler","Høyre",452
"0111 Hvaler","Kristelig Folkeparti",84
"0111 Hvaler","Senterpartiet",57
"0111 Hvaler","Sosialistisk Venstreparti",140
"0111 Hvaler","Venstre",72
"0111 Hvaler","Miljøpartiet de Grønne",2
"0111 Hvaler","Pensjonistpartiet",26
"0111 Hvaler","Kystpartiet",4
"0111 Hvaler","Kristent Samlingsparti",2
"0111 Hvaler","Rødt",23
"0111 Hvaler","Demokratene i Norge",1
"0111 Hvaler","Andre",3
"0118 Aremark","Arbeiderpartiet",270
"0118 Aremark","Fremskrittspartiet",188
"0118 Aremark","Høyre",91
"0118 Aremark","Kristelig Folkeparti",94
"0118 Aremark","Senterpartiet",154
"0118 Aremark","Sosialistisk Venstreparti",25
"0118 Aremark","Venstre",11
"0118 Aremark","Miljøpartiet de Grønne",1
"0118 Aremark","Pensjonistpartiet",6
"0118 Aremark","Kristent Samlingsparti",1
"0118 Aremark","Rødt",2
"0118 Aremark","Demokratene i Norge",1
"0118 Aremark","Andre",1
"0119 Marker","Arbeiderpartiet",757
"0119 Marker","Fremskrittspartiet",374
"0119 Marker","Høyre",210
"0119 Marker","Kristelig Folkeparti",277
"0119 Marker","Senterpartiet",321
