"kommune","parti","stemmer"
"0101 Halden","Arbeiderpartiet",6118
"0101 Halden","Fremskrittspartiet",2954
"0101 Halden","Høyre",3907
"0101 Halden","Kristelig Folkeparti",1047
"0101 Halden","Senterpartiet",626
"0101 Halden","Sosialistisk Venstreparti",400
"0101 Halden","Venstre",743
"0101 Halden","Miljøpartiet de Grønne",416
"0101 Halden","Pensjonistpartiet",103
"0101 Halden","Kystpartiet",7
"0101 Halden","Kristent Samlingsparti",29
"0101 Halden","Rødt",133
"0101 Halden","Demokratene i Norge",10
"0101 Halden","De Kristne",143
"0101 Halden","Piratpartiet",82
"0104 Moss","Arbeiderpartiet",6136
"0104 Moss","Fremskrittspartiet",3241
"0104 Moss","Høyre",4842
"0104 Moss","Kristelig Folkeparti",572
"0104 Moss","Senterpartiet",116
"0104 Moss","Sosialistisk Venstreparti",637
"0104 Moss","Venstre",776
"0104 Moss","Miljøpartiet de Grønne",487
"0104 Moss","Pensjonistpartiet",58
"0104 Moss","Kystpartiet",5
"0104 Moss","Kristent Samlingsparti",8
"0104 Moss","Rødt",268
"0104 Moss","Demokratene i Norge",8
"0104 Moss","De Kristne",51
"0104 Moss","Piratpartiet",68
"0105 Sarpsborg","Arbeiderpartiet",11473
"0105 Sarpsborg","Fremskrittspartiet",5911
"0105 Sarpsborg","Høyre",6658
"0105 Sarpsborg","Kristelig Folkeparti",1551
"0105 Sarpsborg","Senterpartiet",828
"0105 Sarpsborg","Sosialistisk Venstreparti",499
"0105 Sarpsborg","Venstre",829
"0105 Sarpsborg","Miljøpartiet de Grønne",407
"0105 Sarpsborg","Pensjonistpartiet",280
"0105 Sarpsborg","Kystpartiet",11
"0105 Sarpsborg","Kristent Samlingsparti",33
"0105 Sarpsborg","Rødt",152
"0105 Sarpsborg","Demokratene i Norge",27
"0105 Sarpsborg","De Kristne",339
"0105 Sarpsborg","Piratpartiet",92
"0106 Fredrikstad","Arbeiderpartiet",16141
"0106 Fredrikstad","Fremskrittspartiet",8055
